Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
Zn-Co3O4,Co,0,0,0,0,0,0,7,3,1,TM_based,0,3,0,0,0,0,0,0.057,0,0,0,0,2.428571429,13,0.1,0.45,182
CoFe(3:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,3,0,1,0,0,0,0,0,0,0,0,5.4,14,1,0.458,200
FeCoGaOx,Co,0,0,0,0,0,1,8,0,0,NF,31,1,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,215
FeCoGaOx,Co,0,0,0,0,0,1,8,0,0,carbon_based,31,1,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,237
FeCoGaOx,Co,0,0,0,0,0,1,8,0,0,GC,31,1,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,245
Co1.75Al1.25O4,Co,0,0,0,0,0,1,7,0,1,GC,13,1.75,0,0,0,0,0,0,0,0,0,0,5.918083462,14,1,0.64,248
FeCoOx,Co,0,0,0,0,0,0,8,0,0,NF,0,1,0,1,0,0,0,0,0,0,0,0,6.26,14,1,0.4,253
Zn0.8Co2.2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.2,0,0,0,0,0,0.8,0,0,0,0,2.214285714,13,0.1,1,254
Co1.5Al1.5O4,Co,0,0,0,0,0,1,7,0,1,GC,13,1.5,0,0,0,0,0,0,0,0,0,0,,14,1,0.64,258
Co2N0.67,Co,0,1,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,5.243445693,14,1,0.469,258
Fe-Co3O4,Co,0,0,0,0,0,0,7,0,1,GC,0,3,0,0.05,0,0,0,0,0,0,0,0,,14,1,0.25,262
NiCo2O4,Co,0,0,0,0,0,0,6,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,6,14,1,1,270
NiCo2O4,Co,0,0,0,0,0,0,7,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,3,14,1,1.12,270
Co2.1Al0.9O4,Co,0,0,0,0,0,1,7,0,1,GC,13,2.1,0,0,0,0,0,0,0,0,0,0,,14,1,0.64,272
NiCo2−xFexO4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,1.883,1,0.117,0,0,0,0,0,0,0,0,,14,1,0.5,274
FeCoGaOx,Co,0,0,0,0,0,1,8,0,0,TM_based,31,1,0,1,0,0,0,0,0,0,0,0,4.333333333,14,1,0.4,275
CoN,Co,0,1,0,0,0,0,6,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,5.166666667,14,1,0.306,276
PF/Ni1.5Co1.5N (NIN),Co,0,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,3.5,14,1,0.27,280
Fe-Doped CoO,Co,0,0,0,0,0,0,2,0,1,carbon_based,0,1,0,0.07,0,0,0,0,0,0,0,0,,14,1,2.5,282
Zn0.6Co2.4O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.4,0,0,0,0,0,0.6,0,0,0,0,,13,0.1,1,287
Co2.4Al0.6O4,Co,0,0,0,0,0,1,7,0,1,GC,13,2.4,0,0,0,0,0,0,0,0,0,0,5.5,14,1,0.64,290
