Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
CoFeNx/NF,Co,1,1,260,40,1
Co2N/NF,Co,1,1,369,-,1
CoOx /CoNy @CN,Co,1,1,280,70,1
Co5.47N/NC,Co,1,1,248,10,1
Co4N/CC,Co,1,1,257,12,1
Co3O4/CC,Co,1,0,320,6.94,1
CoN/NF,Co,1,1,290,30,1
CeO2-CuCoO/NF,Co,1,0,266,20,0
CuCoO,Co,0,0,325,-,0
NiCo2N/NF,Co,1,1,290,40,1
Co3O4/NF,Co,1,0,320,-,1
NiCo2O4/NF,Co,1,0,340,-,1
CoN/NF,Co,1,1,300,-,1
CoWO/NF,Co,1,0,300,-,0
CoWN/NF,Co,1,1,232,50,0
Co4N,Co,0,1,330,3.33,1
Co3N,Co,0,1,370,3.33,1
Co2N,Co,0,1,390,3.33,1
CoN,Co,0,1,276,5.55,1
CoN,Co,0,1,338,,1
CoN,Co,0,1,304,,1
CuCo2Nx@NC,Co,1,1,230,60,1
CoNx@NC,Co,1,1,310,-,1
Co3O4@Co3O4,Co,1,0,301,24,-
Co3O4@CoS,Co,1,0,289,24,-
Co3O4@C,Co,1,0,261,24,-
Co3O4@CoP,Co,1,0,238,24,-
NiCo2O4,Co,0,0,270,12,-
Co3O4,Co,1,0,308,12,-
NiCo2O4@C,Co,1,0,267,30,-
Au/CoMoNx,Co,1,1,230,50,1
Au/CoNx,Co,1,1,310,-,1
Au/CoMoO4,Co,1,0,270,-,1
CoMoNx,Co,0,1,370,-,1
NiCo2O4@MnO2,Co,1,0,337,10,1
NiCo2O4,Co,0,0,380,-,1
Fe0.5Ni0.5Co2O4,Co,0,0,350,10,-
Fe0.9Ni0.1Co2O4,Co,0,0,410,10,-
Fe0.75Ni0.25Co2O4,Co,0,0,400,10,-
Fe0.25Ni0.75Co2O4,Co,0,0,380,10,-
Fe0.1Ni0.9Co2O4,Co,0,0,435,10,-
FeCo2O4,Co,0,0,410,10,-
NiCo2O4,Co,0,0,460,10,-
CoN/CC,Co,1,1,280,-,1
Fe-Doped CoO,Co,0,0,282,24,1
CoO,Co,0,0,320,-,1
CoO,Co,0,0,369,-,1
Co10Ox,Co,0,0,430,-,-
Co6.7Fe3.3Ox,Co,0,0,362,-,-
Co8.7Fe1.3Ox,Co,0,0,408,-,-
Co3O4,Co,0,0,414,24,-
Co3O4,Co,0,0,374,24,-
Co3O4,Co,0,0,433,24,-
CoO/Co3O4,Co,1,0,260,10,1
CoO/Co3O4,Co,1,0,270,-,1
FeCoGaOx,Co,0,0,245,-,0
CoOx,Co,0,0,327,-,0
CoGaOx,Co,0,0,378,-,0
FeCoOx,Co,0,0,294,-,0
FeCoGaOx,Co,0,0,275,-,0
CoGaOx,Co,0,0,378,-,0
FeCoOx,Co,0,0,304,-,0
FeCoGaOx,Co,0,0,215,20,1
CoOx,Co,0,0,333,-,1
CoGaOx,Co,0,0,295,-,1
FeCoOx,Co,0,0,253,-,1
FeCoGaOx,Co,0,0,237,-,0
CoOx,Co,0,0,394,-,0
CoGaOx,Co,0,0,377,-,0
FeCoOx,Co,0,0,316,-,0
CoOx,Co,0,0,353,-,0
Co2.25Cr0.75O4,Co,0,0,350,24,1
Co2.75Cr0.25O4,Co,0,0,380,-,1
Co2.5Cr0.5O4,Co,0,0,360,-,1
Co2CrO4,Co,0,0,370,-,1
Co1.75Cr1.25O4,Co,0,0,380,-,1
Co2.25Cr0.75O4,Co,0,0,440,-,1
Co2.25Cr0.75O4,Co,0,0,420,-,1
Co2.25Cr0.75O4,Co,0,0,400,-,1
Co2.25Cr0.75O4,Co,0,0,394,-,1
Co2.25Cr0.75O4,Co,0,0,380,-,1
Co2.25Cr0.75O4,Co,0,0,367,-,1
Co2.25Cr0.75O4,Co,0,0,344,-,1
Co2.25Cr0.75O4,Co,0,0,332,-,1
NiCo2O4/rGO,Co,1,0,450,4.16,1
NiCo2O4/rGO,Co,1,0,530,4.16,1
CuCo2O4/NrGO,Co,1,0,360,-,-
CuCo2O4,Co,0,0,400,-,-
Co3O4/NrGO,Co,1,0,400,-,-
Co3O4,Co,0,0,420,-,-
CuCo2O4/NrGO,Co,1,0,410,-,-
CuCo2O4,Co,0,0,470,-,-
Co3O4/NrGO,Co,1,0,440,-,-
Co3O4,Co,0,0,480,-,-
CuCo2O4/NrGO,Co,1,0,540,-,-
Co3O4/NrGO,Co,1,0,560,-,-
Co3O4,Co,0,0,580,-,-
Co5.47N,Co,0,1,340,-,1
CoFe(3:1)-N        ,Co,0,1,200,10,1
CoNi(3:1)-N        ,Co,0,1,320,-,1
CoMn(3:1)-N        ,Co,0,1,330,-,1
