Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.5,0,14,0.042,0,440,F
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,,14,0.05,0,293,A
Fe2O3/NF,Fe,1,0,0,0,0,0,7,1,1,NF,0,0,0,2,0,0,0,0,0,0,0,0,,,14,0.05,0,378,F
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,0,14,0.084,0,420,F
Ni3N,Ni,0,1,0,0,0,0,2,0,0,carbon_based,0,0,3,0,0,0,0,0,0,0,0,0,1.857142857,0,14,0.085,0,397,F
Co-Ni3N/CC,Ni,1,1,0,0,0,0,2,2,0,carbon_based,0,1,3,0,0,0,0,0,0,0,0,0,2.57,0,14,0.085,0,307,A
Co3O4,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,0,13,0.1,0,449,F
Co–Fe–O/rgo,Fe,1,0,1,4,0,0,3,0,0,GC,0,1,0,4,0,0,0,0,0,0,0,0,2.428571429,0,14,0.1,0,390,F
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,13,0.1,0,411,F
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,2.571428571,0,14,0.1,0,267,A
