Compound,Compound Class,Composite (Y or N),Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Catalyst Loading (mg/cm2),Overpotential (mV)
Pd/NiFeOx,Ni,0,0,0,0,1,7,0,1,NF,46,0,1,0.101,0,0,0,0,0,0,0,0,,14,,180
FeCoGaOx,Co,0,0,0,0,1,8,0,0,NF,31,1,0,1,0,0,0,0,0,0,0,0,,14,0.4,215
Pd/NiO,Ni,0,0,0,0,1,7,0,1,NF,46,0,1,0,0,0,0,0,0,0,0,0,7,0,,217
FeCoGaOx,Co,0,0,0,0,1,8,0,0,carbon_based,31,1,0,1,0,0,0,0,0,0,0,0,,14,0.4,237
FeCoGaOx,Co,0,0,0,0,1,8,0,0,GC,31,1,0,1,0,0,0,0,0,0,0,0,,14,0.4,245
FeCoCrOx,Fe,0,0,0,0,0,8,0,0,GC,0,1,0,1,0,0,0,0,1,0,0,0,,14,0.4,245
Co1.75Al1.25O4,Co,0,0,0,0,1,7,0,1,GC,13,1.75,0,0,0,0,0,0,0,0,0,0,5.918083462,14,0.64,248
Ni0.6Fe0.3Cr0.1Ox,Ni,0,0,0,0,0,5,0,1,GC,0,0,0.6,0.3,0,0,0,0,0.1,0,0,0,,14,2,251
FeCoOx,Co,0,0,0,0,0,8,0,0,NF,0,1,0,1,0,0,0,0,0,0,0,0,6.26,14,0.4,253
Zn0.8Co2.2O4,Co,0,0,0,0,0,3,0,0,GC,0,2.2,0,0,0,0,0,0.8,0,0,0,0,2.214285714,13,1,254
Co1.5Al1.5O4,Co,0,0,0,0,1,7,0,1,GC,13,1.5,0,0,0,0,0,0,0,0,0,0,,14,0.64,258
Ni-Fe-O,Fe,0,0,0,0,0,7,0,0,TM_based,0,0,1,1,0,0,0,0,0,0,0,0,0.6666666667,14,,260
Fe-Co3O4,Co,0,0,0,0,0,7,0,1,GC,0,3,0,0.05,0,0,0,0,0,0,0,0,,14,0.25,262
FeGaOx,Fe,0,0,0,0,1,8,0,0,NF,31,0,0,1,0,0,0,0,0,0,0,0,,14,0.4,262
NiCo2O4,Co,0,0,0,0,0,6,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,6,14,1,270
NiCo2O4,Co,0,0,0,0,0,7,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,3,14,1.12,270
Co2.1Al0.9O4,Co,0,0,0,0,1,7,0,1,GC,13,2.1,0,0,0,0,0,0,0,0,0,0,,14,0.64,272
Ni0.6Fe0.4Ox,Ni,0,0,0,0,0,5,0,0,GC,0,0,0.6,0.4,0,0,0,0,0,0,0,0,6,14,2,272
NiCo2−xFexO4,Co,0,0,0,0,0,6,0,1,carbon_based,0,1.883,1,0.117,0,0,0,0,0,0,0,0,,14,0.5,274
FeCoGaOx,Co,0,0,0,0,1,8,0,0,TM_based,31,1,0,1,0,0,0,0,0,0,0,0,4.333333333,14,0.4,275
Fe-Doped CoO,Co,0,0,0,0,0,2,0,1,carbon_based,0,1,0,0.07,0,0,0,0,0,0,0,0,,14,2.5,282
NiFeOx,Fe,0,0,0,0,0,7,0,0,NF,0,0,1,1,0,0,0,0,0,0,0,0,5.6,0,,282
Zn0.6Co2.4O4,Co,0,0,0,0,0,3,0,0,GC,0,2.4,0,0,0,0,0,0.6,0,0,0,0,,13,1,287
Co2.4Al0.6O4,Co,0,0,0,0,1,7,0,1,GC,13,2.4,0,0,0,0,0,0,0,0,0,0,5.5,14,0.64,290
Pd/NiO,Ni,0,0,0,0,1,7,0,1,NF,46,0,1,0,0,0,0,0,0,0,0,0,2.428571429,14,,290
NiCo2O4,Co,0,1,3,0,0,6,0,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,290
FeCoOx,Co,0,0,0,0,0,8,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,,14,0.4,294
CoGaOx,Co,0,0,0,0,1,8,0,0,NF,31,1,0,0,0,0,0,0,0,0,0,0,3.5,14,0.4,295
NiCrFeO4,Fe,0,0,0,0,0,2,0,1,GC,0,0,1,1.8,0,0,0,0,1.51,0,0,0,,14,0.665,298
ZnCo2O4,Co,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,1,0,0,0,0,2.14,13,1,300
Co2VO4,Co,0,1,3,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,1,0,0,3.75,14,0.694,300
FeCoOx,Fe,0,0,0,0,0,8,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,,14,0.4,301
NiFe2O4,Fe,0,0,0,0,0,6,0,0,carbon_based,0,0,1,2,0,0,0,0,0,0,0,0,3.5,14,1,302
FeCoOx,Co,0,0,0,0,0,8,0,0,TM_based,0,1,0,1,0,0,0,0,0,0,0,0,3.784482759,14,0.4,304
Zn0.4Co2.6O4,Co,0,0,0,0,0,3,0,0,GC,0,2.6,0,0,0,0,0,0.4,0,0,0,0,4,13,1,306
Co3O4,Co,0,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.34,307
FeCoO,Co,0,1,3,0,0,7,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,,13,0.36,308
Pd/NiFeOx,Ni,0,0,0,0,1,7,0,1,NF,46,0,1,0.101,0,0,0,0,0,0,0,0,1.16,7.4,,310
6%Te-Co3O4,Co,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,2.42,14,0.24,313
FeOx,Fe,0,0,0,0,0,8,0,0,NF,0,0,0,1,0,0,0,0,0,0,0,0,,14,0.4,313
Co3O4,Co,0,0,0,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,0.25,314
FeCoOx,Co,0,0,0,0,0,8,0,0,carbon_based,0,1,0,1,0,0,0,0,0,0,0,0,3.5,14,0.4,316
CoO,Co,0,0,0,0,0,2,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,2.5,320
CoO,Co,0,0,0,0,0,7,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,1,320
NiCr0.5Fe1.5O4,Fe,0,0,0,0,0,3,0,0,GC,0,0,1,1.5,0,0,0,0,0.5,0,0,0,,14,,320
Fe3CoO,Co,0,1,3,0,0,7,0,0,GC,0,1,0,3,0,0,0,0,0,0,0,0,5.425,13,0.36,323
Zn0.2Co2.8O4,Co,0,0,0,0,0,3,0,0,GC,0,2.8,0,0,0,0,0,0.2,0,0,0,0,4.333333333,13,1,325
CoCrOx,Co,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,1,0,0,0,2.428571429,14,0.4,326
