Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Co3O4,Co,0,0,0,0,0,0,6,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0.12,0,440,F
NiCo2O4/NiO,Co,1,0,0,0,0,0,7,0,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,0.5,0,14,1.06,1,360,F
Ni-Fe-O,Fe,0,0,0,0,0,0,7,0,0,TM_based,0,0,1,1,0,0,0,0,0,0,0,0,0.6666666667,0,14,,,260,A
NiCo2O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,0.6666666667,0,14,,,330,A
NiCo2O4–N-CNT,Co,1,0,1,1,1,0,3,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.166666667,0,13,0.24,0,406,F
CoO-NiO-NiCo/NCNT,Co,1,0,1,1,1,0,3,2,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,1.214285714,0,14,0.21,0,270,A
CoWO/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,4,0,0,0,0,0,0,0,0,6,0,1.25,0,14,,,300,A
ZnxCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.23,0,0,0,0,0,1,0,0,0,0,1.272727273,0,14,0.21,0,337,A
Co3O4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,1.333333333,0,14,0.5,0,390,F
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.5,0,14,0.042,0,440,F
